UnitNumber,Name,Model,PV,Type,Size,Move,Role,Skill,Short,ShortMin,Medium,MediumMin,Long,LongMin,Extreme,ExtremeMin,Overheat,Armor,Structure,Threshold,Specials,Image
2,AA Jump Infantry, ,9,CI,1,"4""j",,,1,false,1,false,0,false,0,false,0,1,1,0,"AM,CAR4",https://i.ibb.co/4FxcqQ0/aa-jump-infantry-fwlm.png
3,AA Mechanized infantry, ,8,CI,1,"6""w",,,1,false,1,false,0,false,0,false,0,1,1,0,CAR20,https://i.ibb.co/qCkwNLZ/aa-mechanized-infantry-chh.png
4,AC/2 Carrier,(LB-X),15,CV,3,"6""t",,,0,false,1,false,1,false,0,false,0,3,3,0,"C3S,FLK0*/1/1,MHQ1,SRCH",https://i.ibb.co/p1Zfrfy/lrm-carrier-3039.png
5,AC/2 Carrier,,12,CV,3,"6""t",,,1,false,1,false,1,false,0,false,0,2,3,0,"AC1/1/1,EE,SRCH",https://i.ibb.co/VHjpQzD/lrm-carrier-rg.png
6,Achileus Light Battle Armor,(WoB) (Sqd4),16,BA,1,"6""j",,,0,false,0,false,0,false,0,false,0,1,2,0,"AM,CAR4,LECM,MEC,RCN,STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png
7,Achileus Light Battle Armor,[David] (Sqd4),15,BA,1,"6""j",,,1,false,0,false,0,false,0,false,0,1,2,0,"AM,CAR4,MEC,STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png
8,Achileus Light Battle Armor,[Flamer] (Sqd4),15,BA,1,"6""j",,,1,false,0,false,0,false,0,false,0,1,2,0,"AM,CAR4,HT1/-/-,MEC,STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png
9,Achileus Light Battle Armor,[Laser] (Sqd4),15,BA,1,"6""j",,,2,false,0,false,0,false,0,false,0,1,2,0,"AM,CAR4,MEC,STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png
10,Achileus Light Battle Armor,[MG] (Sqd4),14,BA,1,"6""j",,,1,false,0,false,0,false,0,false,0,1,2,0,"AM,CAR4,MEC,STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png
11,Achileus Light Battle Armor,[TAG] (Sqd4),14,BA,1,"6""j",,,0,false,0,false,0,false,0,false,0,1,2,0,"AM,CAR4,LTAG,MEC,STL",https://i.ibb.co/ZcHFYBn/achileus-3058u.png
